Company	DS Correct	ET Correct	Count	Num Types	Num MealTypes
p0000832hlwf	654	645	698	53	5
p0074864tjlc	24	21	24	47	7
p0002406hlem	2786	2431	2990	123	19
p0033433gsmg	299	217	314	54	9
p00849947wds	151	62	174	93	13
p00026676lfp	62	41	64	54	9
p0067295fi56	2	1	4	86	10
p0062419vrwc	35	17	69	240	28
p003294247nt	168	143	178	56	8
p0093942dcjm	6	2	6	60	10
p0009714feya	1	1	1	25	4
p0090975mqdt	444	404	470	108	13
p0091593lody	6	6	9	51	6
p0002233vdsm	2195	1193	2514	147	15
p0096318b7wi	1	1	1	69	8
p0036222ulok	2	2	2	67	10
p0006599xwf2	13	10	13	41	7
p0007269g3lh	59	45	65	26	4
p0098708mikm	17	13	50	71	8
p0012457ksdn	3	2	5	68	22
p0058285sclb	90	70	99	55	10
p0098723vqmg	106	64	129	291	10
p0011317fgmg	60	53	75	28	4
p0044025n2ah	28	26	29	73	7
p0085562zev9	39	37	41	57	13
p0044855vcah	57	41	58	52	9
p0096046mlgs	21	10	21	62	9
p0017254pepu	211	166	258	58	7
p0010011yhc6	13	11	21	69	10
p0050529jihi	446	317	629	127	18
p0007038xtsv	2	2	2	63	8
p00019664uxj	71	35	86	168	26
